SN.,size of cluster,cluster member,merge reason,first match count,second match count
34,1,['willingness'],"[((Synset('trustworthy.a.01'), 'worthy of trust or belief'), (Synset('trustworthy.a.01'), 'worthy of trust or belief'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
35,1,['sense'],"[((Synset('commitment.n.04'), 'a message that makes a pledge'), (Synset('promise.n.01'), 'a verbal commitment by one person to another agreeing to do (or not to do) something in the future'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
36,1,['teamwork'],"[((Synset('give.v.18'), 'give entirely to a specific person, activity, or cause'), (Synset('give.v.18'), 'give entirely to a specific person, activity, or cause'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
37,1,['mature'],"[((Synset('commitment.n.04'), 'a message that makes a pledge'), (Synset('commitment.n.04'), 'a message that makes a pledge'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
38,1,['idiot'],"[((Synset('bias.n.01'), 'a partiality that prevents objective consideration of an issue or situation'), (Synset('bias.n.01'), 'a partiality that prevents objective consideration of an issue or situation'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
39,1,['achievement'],"[((Synset('hard.s.10'), 'being distilled rather than fermented; having a high alcoholic content'), (Synset('hard.s.10'), 'being distilled rather than fermented; having a high alcoholic content'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
40,1,['oriented'],"[((Synset('friendliness.n.02'), 'a friendly disposition'), (Synset('approachability.n.01'), 'the attribute of being easy to meet or deal with'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
41,1,['compassion'],"[((Synset('theme.n.02'), 'a unifying idea that is a recurrent element in literary or artistic work'), (Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
42,1,['knowledge'],"[((Synset('opinion.n.01'), 'a personal belief or judgment that is not founded on proof or certainty'), (Synset('politics.n.04'), 'the opinion you hold with respect to political questions'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
43,1,['others'],"[((Synset('political.a.02'), 'of or relating to your views about social relationships involving authority or power'), (Synset('political.a.02'), 'of or relating to your views about social relationships involving authority or power'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
44,1,['together'],"[((Synset('politics.n.02'), 'the study of government of states and other political units'), (Synset('sociology.n.01'), 'the study and classification of human societies'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
45,1,['international'],"[((Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'), (Synset('idea.n.01'), 'the content of cognition; the main thing you are thinking about'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
46,1,['people'],"[((Synset('think.n.01'), 'an instance of deliberate thinking'), (Synset('deliberation.n.02'), 'careful consideration'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
47,1,['inclusivity'],"[((Synset('empathy.n.01'), ""understanding and entering into another's feelings""), (Synset('empathy.n.01'), ""understanding and entering into another's feelings""))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
48,1,['problem'],"[((Synset('sympathize.v.02'), 'be understanding of'), (Synset('sympathize.v.02'), 'be understanding of'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
49,1,['join'],"[((Synset('suffice.v.01'), 'be sufficient; be adequate, either in quality or quantity'), (Synset('qualify.v.01'), 'prove capable or fit; meet requirements'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
50,1,['controlling'],"[((Synset('qualify.v.06'), 'describe or portray the character or the qualities or peculiarities of'), (Synset('qualify.v.06'), 'describe or portray the character or the qualities or peculiarities of'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
51,1,['u'],"[((Synset('quality.n.03'), 'a characteristic property that defines the apparent individual nature of something'), (Synset('quality.n.03'), 'a characteristic property that defines the apparent individual nature of something'))]","(0, None)","(0, None)"
52,1,['passion'],"[((Synset('position.n.06'), 'a job in an organization'), (Synset('position.n.06'), 'a job in an organization'))]","(1, (4, 'determination', 8, 13))","(0, None)"
53,1,['ulterior'],"[((Synset('position.n.06'), 'a job in an organization'), (Synset('presidency.n.02'), 'the office and function of president'))]","(1, (6, 'honesty', 7, 10))","(0, None)"
54,1,['umm'],"[((Synset('ethic.n.02'), 'a system of principles governing morality and acceptable conduct'), (Synset('system.n.04'), 'a complex of methods or rules governing behavior'))]","(0, None)","(0, None)"
55,1,['common'],"[((Synset('humility.n.01'), 'a disposition to be humble; a lack of false pride'), (Synset('humility.n.01'), 'a disposition to be humble; a lack of false pride'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
56,1,['bravery'],"[((Synset('assurance.n.01'), 'freedom from doubt; belief in yourself and your abilities'), (Synset('assurance.n.01'), 'freedom from doubt; belief in yourself and your abilities'))]","(1, (8, 'confident', 3, 3))","(0, None)"
57,1,['different'],"[((Synset('prison_term.n.01'), 'the period of time a prisoner is imprisoned'), (Synset('term.n.02'), 'a limited period of time'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
58,1,['sophisticated'],"[((Synset('time.n.06'), ""a person's experience on a particular occasion""), (Synset('experience.n.03'), 'an event as apprehended'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
59,1,['groups'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
60,1,['fulfilled'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
61,1,['someone'],NA,"(0, None)","(0, None)"
62,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
63,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
64,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
65,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
66,1,['relations'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
67,1,"[""i'm""]",NA,"(0, None)","(0, None)"
68,1,['country'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
69,1,['equality'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
70,1,['crucial'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
71,1,['appeals'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
72,1,['politically'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
