SN.,size of cluster,cluster member,merge reason,first match count,second match count
15,1,['vast'],"[((Synset('kindness.n.03'), 'a kind act'), (Synset('politeness.n.02'), 'the act of showing regard for others'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
16,1,['preferably'],"[((Synset('feel_for.v.01'), 'share the suffering of'), (Synset('care.v.01'), 'feel concern or interest'))]","(0, None)","(0, None)"
17,1,['genuine'],"[((Synset('settle.v.03'), 'settle conclusively; come to terms'), (Synset('compromise.v.02'), 'settle by concession'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
18,1,['exceptionally'],"[((Synset('compromise.n.01'), 'a middle way between two extremes'), (Synset('teamwork.n.01'), 'cooperative work done by a team (especially when it is effective)'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
19,1,['progressive'],"[((Synset('compromise.n.01'), 'a middle way between two extremes'), (Synset('selflessness.n.02'), 'acting with less concern for yourself than for the success of the joint activity'))]","(0, None)","(0, None)"
20,1,['oriented'],"[((Synset('influence.v.01'), 'have and exert influence or effect'), (Synset('prejudice.v.02'), ""influence (somebody's) opinion in advance""))]","(1, (0, 'leadership', 17, 29))","(0, None)"
21,1,['others'],"[((Synset('compromise.n.01'), 'a middle way between two extremes'), (Synset('commitment.n.02'), 'the act of binding yourself (intellectually or emotionally) to a course of action'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
22,1,['level-headed'],"[((Synset('friendliness.n.02'), 'a friendly disposition'), (Synset('willingness.n.01'), 'cheerful compliance'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
23,1,['international'],"[((Synset('friendliness.n.02'), 'a friendly disposition'), (Synset('composure.n.01'), 'steadiness of mind under stress'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
24,1,"[""i'm""]","[((Synset('friendliness.n.02'), 'a friendly disposition'), (Synset('agreeableness.n.02'), 'a temperamental disposition to be agreeable'))]","(0, None)","(0, None)"
25,1,['together'],"[((Synset('park.n.02'), 'a piece of open land for recreational use in an urban area'), (Synset('lot.n.02'), 'a parcel of land having fixed boundaries'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
26,1,['sophisticated'],"[((Synset('ethic.n.01'), 'the principles of right and wrong that are accepted by an individual or a social group'), (Synset('relation_back.n.01'), '(law) the principle that an act done at a later time is deemed by law to have occurred at an earlier time'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
27,1,['inclusivity'],"[((Synset('system.n.02'), 'a group of independent but interrelated elements comprising a unified whole'), (Synset('group.n.01'), 'any number of entities (members) considered as a unit'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
28,1,['join'],"[((Synset('group.n.01'), 'any number of entities (members) considered as a unit'), (Synset('people.n.01'), '(plural) any group of human beings (men or women or children) collectively'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
29,1,['controlling'],"[((Synset('people.n.01'), '(plural) any group of human beings (men or women or children) collectively'), (Synset('nation.n.02'), 'the people who live in a nation or country'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
30,1,['passion'],"[((Synset('country.n.02'), 'the territory occupied by a nation'), (Synset('county.n.02'), '(United States) the largest administrative district within a state'))]","(1, (4, 'determination', 8, 13))","(0, None)"
31,1,['umm'],NA,"(0, None)","(0, None)"
32,1,['bravery'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
33,1,['someone'],NA,"(0, None)","(0, None)"
34,1,['crucial'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
35,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
36,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
37,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
38,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
39,1,['ulterior'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
40,1,['equality'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
41,1,['politically'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
