SN.,size of cluster,cluster member,merge reason,first match count,second match count
59,1,['motives'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
60,1,['inclusivity'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
61,1,['strong'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
62,1,['problem'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
63,1,['trustworthy'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
64,1,['ulterior'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
65,1,['nice'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
66,1,['different'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
67,1,['morality'],NA,"(0, None)","(0, None)"
68,1,['good'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
69,1,['whole'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
70,1,['trustworthiness'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
71,1,['course'],NA,"(0, None)","(0, None)"
72,1,['sure'],NA,"(0, None)","(0, None)"
73,1,['relations'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
74,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
75,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
76,1,['management'],NA,"(0, None)","(0, None)"
77,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
78,1,['decisiveness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
79,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
80,1,['polite'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
81,1,['diplomacy'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
82,1,['sophisticated'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
83,1,['deliberate'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
84,1,['president'],NA,"(0, None)","(0, None)"
85,1,['care'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
