SN.,size of cluster,cluster member,merge reason,first match count,second match count
10,1,['able'],"[((Synset('leadership.n.01'), 'the activity of leading'), (Synset('character.n.04'), ""an actor's portrayal of someone in a play""))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
11,1,['international'],"[((Synset('leadership.n.03'), 'the status of a leader'), (Synset('equality.n.02'), 'a state of being essentially equal or equivalent; equally balanced'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
12,1,['approachable'],"[((Synset('leadership.n.04'), 'the ability to lead'), (Synset('capability.n.03'), 'an aptitude that may be developed'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
13,1,['smart'],"[((Synset('character.n.03'), 'the inherent complex of attributes that determines a persons moral and ethical actions and reactions'), (Synset('committedness.n.01'), 'the trait of sincere and steadfast fixity of purpose'))]","(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
14,1,['experience'],"[((Synset('leadership.n.01'), 'the activity of leading'), (Synset('presidency.n.02'), 'the office and function of president'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
15,1,['appeals'],"[((Synset('accomplishment.n.01'), 'the action of accomplishing something'), (Synset('promise.n.01'), 'a verbal commitment by one person to another agreeing to do (or not to do) something in the future'))]","(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
16,1,['others'],"[((Synset('accomplishment.n.01'), 'the action of accomplishing something'), (Synset('decision.n.01'), 'the act of making up your mind about something'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
17,1,['crucial'],"[((Synset('humility.n.01'), 'a disposition to be humble; a lack of false pride'), (Synset('willingness.n.01'), 'cheerful compliance'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
18,1,['sociology'],"[((Synset('runner.n.02'), 'someone who travels on foot by running'), (Synset('liberal.n.01'), 'a person who favors a political philosophy of progress and reform and the protection of civil liberties'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
19,1,['office'],"[((Synset('group.n.01'), 'any number of entities (members) considered as a unit'), (Synset('management.n.02'), 'those in charge of running a business'))]","(1, (3, 'political skills ', 9, 16))","(0, None)"
20,1,['level-headed'],"[((Synset('management.n.01'), 'the act of managing something'), (Synset('kindness.n.03'), 'a kind act'))]","(1, (0, 'leadership', 17, 29))","(0, None)"
21,1,['agreeable'],"[((Synset('actor.n.02'), 'a person who acts and gets things done'), (Synset('negotiator.n.01'), 'someone who negotiates (confers with others in order to reach a settlement)'))]","(1, (1, 'diplomacy', 18, 22))","(0, None)"
22,1,['compromise'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
23,1,['political'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
24,1,['genuine'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
25,1,['vast'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
26,1,['ability'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
27,1,['calm'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
28,1,['eloquent'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
29,1,['proud'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
30,1,['long'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
31,1,['mature'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
32,1,['constitution'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
33,1,['basic'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
34,1,['compassion'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
35,1,['time'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
36,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
37,1,"[""i'm""]",NA,"(0, None)","(0, None)"
38,1,['common'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
39,1,['nice'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
40,1,['ulterior'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
41,1,['problem'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
42,1,['strong'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
43,1,['inclusivity'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
44,1,['u'],NA,"(0, None)","(0, None)"
45,1,['empathy'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
46,1,['hard'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
47,1,['wise'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
48,1,['umm'],NA,"(0, None)","(0, None)"
49,1,['honest'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
50,1,['different'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
51,1,['sure'],NA,"(0, None)","(0, None)"
52,1,['morality'],NA,"(0, None)","(0, None)"
53,1,['good'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
54,1,['whole'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
55,1,['deliberate'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
56,1,['sophisticated'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
57,1,['diplomacy'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
58,1,['polite'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
59,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
60,1,['decisiveness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
61,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
62,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
63,1,['confident'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
