SN.,size of cluster,cluster member,merge reason,first match count,second match count
36,1,['logical'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
37,1,['politically'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
38,1,['leader'],NA,"(0, None)","(0, None)"
39,1,['promises'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
40,1,['confident'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
41,1,['knowledgeable'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
42,1,['term'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
43,1,['compassion'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
44,1,['oriented'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
45,1,['achievement'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
46,1,['humble'],NA,"(1, (9, 'humble', 2, 2))","(0, None)"
47,1,['basic'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
48,1,['constitution'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
49,1,['character'],NA,"(0, None)","(0, None)"
50,1,['working'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
51,1,['idiot'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
52,1,['mature'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
53,1,['teamwork'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
54,1,['sense'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
55,1,['think'],NA,"(0, None)","(0, None)"
56,1,['willingness'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
57,1,['long'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
58,1,['determination'],NA,"(0, None)","(0, None)"
59,1,['proud'],NA,"(1, (8, 'confident', 3, 3))","(0, None)"
60,1,['making'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
61,1,['crucial'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
62,1,['qualities'],NA,"(0, None)","(0, None)"
63,1,['equality'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
64,1,['sociology'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
65,1,['whole'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
66,1,['good'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
67,1,['morality'],NA,"(0, None)","(0, None)"
68,1,['different'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
69,1,['run'],NA,"(0, None)","(0, None)"
70,1,['common'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
71,1,['honest'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
72,1,['umm'],NA,"(0, None)","(0, None)"
73,1,['wise'],NA,"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
74,1,['hard'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
75,1,['serve'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
76,1,['u'],NA,"(0, None)","(0, None)"
77,1,['controlling'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
78,1,['join'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
79,1,['motives'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
80,1,['inclusivity'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
81,1,['friendly'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
82,1,['strong'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
83,1,['problem'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
84,1,['prejudices'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
85,1,['prejudice'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
86,1,['dedication'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
87,1,['trustworthy'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
88,1,['ulterior'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
89,1,['decisions'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
90,1,['nice'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
91,1,['understanding'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
92,1,['president'],NA,"(0, None)","(0, None)"
93,1,['office'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
94,1,['commitment'],NA,"(1, (4, 'determination', 8, 13))","(0, None)"
95,1,['kindness'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
96,1,['course'],NA,"(0, None)","(0, None)"
97,1,['time'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
98,1,['political'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
99,1,['solving'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
100,1,"[""i'm""]",NA,"(0, None)","(0, None)"
101,1,['trustworthiness'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
102,1,['politics'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
103,1,['capable'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
104,1,['sure'],NA,"(0, None)","(0, None)"
105,1,['relations'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
106,1,['peaceful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
107,1,['levelheadedness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
108,1,['qualified'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
109,1,['well'],NA,"(1, (3, 'political skills ', 9, 16))","(0, None)"
110,1,['management'],NA,"(0, None)","(0, None)"
111,1,['stressful'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
112,1,['decisiveness'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
113,1,['underprivileged'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
114,1,['polite'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
115,1,['diplomacy'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
116,1,['fulfilled'],NA,"(1, (6, 'honesty', 7, 10))","(0, None)"
117,1,['groups'],NA,"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
118,1,['sophisticated'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
119,1,['deliberate'],NA,"(1, (0, 'leadership', 17, 29))","(0, None)"
120,1,['care'],NA,"(1, (1, 'diplomacy', 18, 22))","(0, None)"
