SN.,size of cluster,cluster member,first match count,second match count
35,1,['term'],"(1, (0, 'leadership', 17, 29))","(0, None)"
36,1,['mature'],"(1, (0, 'leadership', 17, 29))","(0, None)"
37,1,['teamwork'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
38,1,['basic'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
39,1,['humble'],"(1, (9, 'humble', 2, 2))","(0, None)"
40,1,['think'],"(0, None)","(0, None)"
41,1,['willingness'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
42,1,['long'],"(1, (0, 'leadership', 17, 29))","(0, None)"
43,1,['proud'],"(1, (8, 'confident', 3, 3))","(0, None)"
44,1,['genuine'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
45,1,['eloquent'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
46,1,['calm'],"(1, (0, 'leadership', 17, 29))","(0, None)"
47,1,['equality'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
48,1,['goals'],"(0, None)","(0, None)"
49,1,['vast'],"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
50,1,['preferably'],"(0, None)","(0, None)"
51,1,['selfless'],"(1, (0, 'leadership', 17, 29))","(0, None)"
52,1,['kindness'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
53,1,['peaceful'],"(1, (0, 'leadership', 17, 29))","(0, None)"
54,1,['time'],"(1, (0, 'leadership', 17, 29))","(0, None)"
55,1,['political'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
56,1,['humility'],"(1, (9, 'humble', 2, 2))","(0, None)"
57,1,['bravery'],"(1, (8, 'confident', 3, 3))","(0, None)"
58,1,['run'],"(0, None)","(0, None)"
59,1,['common'],"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
60,1,['umm'],"(0, None)","(0, None)"
61,1,['wise'],"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
62,1,['hard'],"(1, (4, 'determination', 8, 13))","(0, None)"
63,1,['passion'],"(1, (4, 'determination', 8, 13))","(0, None)"
64,1,['u'],"(0, None)","(0, None)"
65,1,['join'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
66,1,['inclusivity'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
67,1,['friendly'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
68,1,['strong'],"(1, (0, 'leadership', 17, 29))","(0, None)"
69,1,['problem'],"(1, (0, 'leadership', 17, 29))","(0, None)"
70,1,['ulterior'],"(1, (6, 'honesty', 7, 10))","(0, None)"
71,1,['decisions'],"(1, (0, 'leadership', 17, 29))","(0, None)"
72,1,['nice'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
73,1,['different'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
74,1,['morality'],"(0, None)","(0, None)"
75,1,['good'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
76,1,['well'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
77,1,"[""i'm""]","(0, None)","(0, None)"
78,1,['capable'],"(1, (0, 'leadership', 17, 29))","(0, None)"
79,1,['sure'],"(0, None)","(0, None)"
80,1,['course'],"(0, None)","(0, None)"
81,1,['intelligence'],"(1, (5, 'intelligence/knowledge', 9, 12))","(0, None)"
82,1,['levelheadedness'],"(1, (0, 'leadership', 17, 29))","(0, None)"
83,1,['qualified'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
84,1,['stressful'],"(1, (0, 'leadership', 17, 29))","(0, None)"
85,1,['whole'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
86,1,['decisiveness'],"(1, (0, 'leadership', 17, 29))","(0, None)"
87,1,['underprivileged'],"(1, (2, 'relate to diverse groups', 8, 17))","(0, None)"
88,1,['polite'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
89,1,['diplomacy'],"(1, (1, 'diplomacy', 18, 22))","(0, None)"
90,1,['fulfilled'],"(1, (6, 'honesty', 7, 10))","(0, None)"
91,1,['sophisticated'],"(1, (0, 'leadership', 17, 29))","(0, None)"
92,1,['deliberate'],"(1, (0, 'leadership', 17, 29))","(0, None)"
93,1,['politically'],"(1, (3, 'political skills ', 9, 16))","(0, None)"
